Tag Length (Average tag length = 50.905103)	Fraction of Tags
0	0.000000
1	0.000000
2	0.000000
3	0.000030
4	0.000042
5	0.000049
6	0.000051
7	0.000063
8	0.000045
9	0.000055
10	0.000052
11	0.000063
12	0.000064
13	0.000047
14	0.000060
15	0.000072
16	0.000069
17	0.000047
18	0.000100
19	0.000062
20	0.000062
21	0.000079
22	0.000060
23	0.000053
24	0.000073
25	0.000071
26	0.000064
27	0.000086
28	0.000048
29	0.000060
30	0.000179
31	0.000136
32	0.000145
33	0.000135
34	0.000136
35	0.000172
36	0.000132
37	0.000183
38	0.000132
39	0.000132
40	0.000274
41	0.000207
42	0.000157
43	0.000208
44	0.000127
45	0.000119
46	0.000366
47	0.000267
48	0.000261
49	0.000713
50	0.000082
51	0.994111
