Tag Length (Average tag length = 50.952402)	Fraction of Tags
0	0.000000
1	0.000000
2	0.000000
3	0.000011
4	0.000016
5	0.000013
6	0.000014
7	0.000012
8	0.000016
9	0.000015
10	0.000019
11	0.000019
12	0.000016
13	0.000015
14	0.000015
15	0.000016
16	0.000019
17	0.000015
18	0.000016
19	0.000017
20	0.000015
21	0.000018
22	0.000018
23	0.000017
24	0.000018
25	0.000018
26	0.000018
27	0.000021
28	0.000021
29	0.000019
30	0.000097
31	0.000103
32	0.000123
33	0.000109
34	0.000100
35	0.000162
36	0.000242
37	0.000146
38	0.000123
39	0.000129
40	0.000110
41	0.000152
42	0.000141
43	0.000135
44	0.000122
45	0.000118
46	0.000229
47	0.000200
48	0.000237
49	0.000734
50	0.000035
51	0.996006
