Tag Length (Average tag length = 50.941324)	Fraction of Tags
0	0.000000
1	0.000000
2	0.000000
3	0.000011
4	0.000009
5	0.000011
6	0.000012
7	0.000007
8	0.000014
9	0.000014
10	0.000020
11	0.000018
12	0.000014
13	0.000011
14	0.000013
15	0.000012
16	0.000019
17	0.000018
18	0.000016
19	0.000013
20	0.000018
21	0.000016
22	0.000022
23	0.000019
24	0.000028
25	0.000020
26	0.000022
27	0.000021
28	0.000022
29	0.000021
30	0.000115
31	0.000134
32	0.000185
33	0.000136
34	0.000136
35	0.000269
36	0.000440
37	0.000198
38	0.000155
39	0.000186
40	0.000132
41	0.000185
42	0.000169
43	0.000156
44	0.000136
45	0.000147
46	0.000334
47	0.000235
48	0.000261
49	0.000701
50	0.000088
51	0.995061
